Sample,,,,,,,,,45  Sc  [ No Gas ] ,,56  Fe  [ No Gas ] ,,89  Y  [ No Gas ] ,,113  In  [ No Gas ] ,,139  La  [ No Gas ] ,,140  Ce  [ No Gas ] ,,141  Pr  [ No Gas ] ,,144  Nd  [ No Gas ] ,,146  Nd  [ No Gas ] ,,147  Sm  [ No Gas ] ,,151  Eu  [ No Gas ] ,,153  Eu  [ No Gas ] ,,157  Gd  [ No Gas ] ,,159  Tb  [ No Gas ] ,,163  Dy  [ No Gas ] ,,165  Ho  [ No Gas ] ,,166  Er  [ No Gas ] ,,169  Tm  [ No Gas ] ,,172  Yb  [ No Gas ] ,,175  Lu  [ No Gas ] ,,103  Rh ( ISTD )  [ No Gas ] ,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,012CALS.d,12/21/2021 14:01,,CalStd,7,100,,100.243,1,,,100.736,0.4,779.151,96.1,100.703,0.8,100.3,0.4,101.198,1.4,104.454,1.5,104.932,1.6,105.037,0.2,102.485,1.2,102.101,0.6,104.191,1,100.773,1,103.469,1.1,100.882,0.9,102.776,0.4,102.233,0.7,104.902,0.4,102.599,0.8,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,013CALS.d,12/21/2021 14:06,,CalStd,8,250,,249.335,1.3,,,251.916,1,719.216,0,249.996,1,248.448,0.8,249.948,1.2,251.132,1.3,250.987,0.4,253.105,0.2,250.568,0.9,250.182,0.3,250.704,0.4,250.067,0.8,251.106,1,251.606,0.9,250.759,0.8,252.611,0.3,252.723,0.3,251.708,0.6,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,014CALS.d,12/21/2021 14:10,,CalStd,9,500,,493.778,0.5,,,496.087,0.6,659.281,56.8,496.32,0.3,495.671,1.2,493.176,0.2,497.147,1,491.986,0.7,492.355,0.2,492.78,0.4,494.887,0.7,492.443,1.2,493.38,0.6,492.366,1,495.974,0.5,497.751,0.6,494.925,0.9,491.481,0.4,496.636,0.4,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,015CALS.d,12/21/2021 14:14,,CalStd,10,1000,,1003.186,0.7,,,1001.307,0.2,659.281,15.7,1001.675,0.4,1002.448,0.3,1003.249,0.5,1000.543,0.3,1003.19,0.9,1002.473,0.4,1003.096,0.3,1002.162,0.5,1003.121,1.3,1003.171,0.3,1003.081,0.3,1001.44,0.5,1000.594,0.6,1001.575,0.7,1002.931,0.5,1000.894,0.7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,016BLKV.d,12/21/2021 14:18,,BlkVrfy,,blank verify,,0.312,2.3,,,0.013,2.1,539.412,88.2,0.012,13.3,0.013,8.3,0.012,6.5,0.014,22.7,0.012,30.2,0.013,4.9,0.013,12.8,0.011,3.4,0.012,9.4,0.012,4.7,0.011,5.2,0.012,9.3,<0.000,N/A,0.012,6.1,0.012,9.5,0.012,10.4,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,017SMPL.d,12/21/2021 14:24,,Sample,,0608_2_10-30,,0.119,2.4,,,0.004,12.7,539.412,88.2,73.595,0.2,0.005,2.7,0.003,7.8,0.003,45.4,0.004,11.2,0.003,15,46.25,0.9,46.239,0.4,0.009,3.6,0.002,3.3,0.003,13.2,0.003,11.4,<0.000,N/A,0.009,1.5,72.584,0.2,0.003,10.8,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1078.82 is over the calibration range,FALSE,018SMPL.d,12/21/2021 14:29,,Sample,,0608_2_10-60,,0.096,0.9,,,0.005,1.9,1078.824,33.3,223.016,0.3,0.006,0.9,0.002,12.5,0.002,8.7,0.003,22.4,0.002,8.7,174.528,1.1,175.227,0.8,0.021,9.6,0.002,1.4,0.002,7.3,0.002,16.9,<0.000,N/A,0.027,0.5,248.544,0.2,0.004,2.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,019SMPL.d,12/21/2021 14:34,,Sample,,0608_2_50-10,,0.086,1.9,,,0.003,8.8,539.412,57.7,39.341,0.2,0.005,5.6,0.002,9.3,0.002,60.6,0.002,9.4,0.001,61.6,26.581,0.4,26.539,0.7,0.005,12.4,0.001,5.9,0.001,11.6,0.001,8.9,<0.000,N/A,0.005,4.4,26.658,0.2,0.002,2.4,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,020SMPL.d,12/21/2021 14:39,,Sample,,0608_2_50-30,,0.079,2.8,,,0.003,0.4,539.412,33.3,138.007,0.8,0.006,7.2,0.001,1.9,0.002,79.9,0.002,45.9,0.001,20.4,111.274,0.2,111.235,0.5,0.013,2.3,0.001,10.7,0.001,19,0.001,9.3,<0.000,N/A,0.017,4,136.553,0.3,0.003,8.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1018.89 is over the calibration range,FALSE,021SMPL.d,12/21/2021 14:44,,Sample,,2493_3_10-30,,0.073,0.8,,,0.003,12.1,1018.889,50.9,100.803,0.5,0.003,2.9,0.001,19.1,0.001,57.3,0.001,15.7,0.001,48.4,71.854,0.8,71.781,1.5,0.01,6.4,0,22.4,0.001,21.7,0,24,<0.000,N/A,0.01,7.5,94.793,0.5,0.001,10.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1138.76 is over the calibration range,FALSE,022SMPL.d,12/21/2021 14:49,,Sample,,2493_3_10-60,,0.069,1.7,,,0.003,5.9,1138.759,9.1,250.865,0.6,0.005,1.7,0.001,4.9,0.001,99,0.002,28.3,0.001,22.9,212.096,1.5,212.837,0.2,0.023,5.7,0,14.9,0.001,18.2,0.001,25.1,<0.000,N/A,0.032,0.4,274.926,1,0.003,6.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1258.63 is over the calibration range,FALSE,023SMPL.d,12/21/2021 14:54,,Sample,,2493_3_50-10,,0.07,0.9,,,0.003,9,1258.628,24.7,28.992,0.4,0.003,11.3,0.001,5.6,0.002,24.7,0.001,18.2,0,34.6,17.196,0.1,17.375,1.4,0.003,15.9,0,18.6,0.001,50.6,0,11,<0.000,N/A,0.003,6.8,18.28,0.2,0,20.6,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,024SMPL.d,12/21/2021 14:59,,Sample,,2493_3_50-30,,0.069,3.2,,,0.003,8.3,719.216,25,128.747,0.6,0.005,2.6,0,7.2,0.001,65.5,0.001,34.6,0.001,24.7,99.342,0.3,98.263,0.5,0.012,14.4,0,25,0,21.7,0,32.9,<0.000,N/A,0.015,1.2,122.335,1.2,0.001,4.7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,025SMPL.d,12/21/2021 15:04,,Sample,,10-30_1_d1,,0.065,2.1,,,0.002,14.8,779.151,35.3,144.527,0.7,0.004,3.3,0,8.3,0,0,0.001,50,0,50,137.741,0.3,137.518,1,0.013,11.6,0,11.2,0,9.1,0,10,<0.000,N/A,0.02,1.9,176.508,0.6,0.002,6.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,026SMPL.d,12/21/2021 15:09,,Sample,,10-30_1_d2,,0.061,2.9,,,0.002,23.9,958.955,21.7,118.239,0.6,0.003,11.8,0,25.8,0.001,91.7,0.001,17.6,0,66.1,97.644,0.6,98.348,0.5,0.011,7.8,0,34.6,0,60,0,58.8,<0.000,N/A,0.015,4.9,133.21,0.3,0.002,12.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,027SMPL.d,12/21/2021 15:14,,Sample,,cal check 10,,8.965,0.7,,,9.615,0.1,839.085,53.9,9.806,0.6,9.739,0.1,9.901,1.9,9.807,0.8,9.788,0.2,9.805,0,9.896,0.1,9.904,1,9.801,0.1,10.245,1.7,9.898,0.6,10.304,0.8,9.049,0.3,10.394,0.5,9.975,0.2,10.332,0.4,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,028SMPL.d,12/21/2021 15:19,,Sample,,blank,,0.143,2.2,,,0.002,20.3,719.216,43.3,0.004,17.6,0.003,16.5,0.002,24.4,0.002,67.6,0.001,20,0.001,26.6,0.003,27.7,0.003,17.6,0.002,17.9,0.001,12.4,0.002,25.2,0.001,22.5,<0.000,N/A,0.001,23.9,0.004,18.9,0.002,29.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,029SMPL.d,12/21/2021 15:24,,Sample,,10-30_1_d3,,0.072,3.9,,,0.003,9.9,719.216,43.3,94.619,0.6,0.004,11,0.001,26.7,0.001,107.9,0.002,27.1,0.001,30.1,66.901,1.1,66.331,0.3,0.009,2.6,0.001,49.9,0.001,25.8,0.001,38.6,<0.000,N/A,0.01,3.5,96.095,0.5,0.002,23,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1138.76 is over the calibration range,FALSE,030SMPL.d,12/21/2021 15:29,,Sample,,10-30_1_d4,,0.065,2.3,,,0.002,16.6,1138.759,39.7,74.616,0.6,0.003,17.3,0.001,18.8,0.002,55.5,0.001,38.5,0.001,29.4,46.604,0.1,46.367,0.2,0.007,22.2,0.001,37.4,0.001,20.4,0.001,36,<0.000,N/A,0.008,6.9,68.478,1.1,0.001,22.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,031SMPL.d,12/21/2021 15:34,,Sample,,10-30_1_d5,,0.065,3.3,,,0.003,33.9,839.085,32.7,25.795,1.9,0.003,24.8,0.001,48.9,0.003,37.5,0.001,38.7,0.001,82.4,11.44,0.4,11.517,0.9,0.003,17.6,0.001,62.5,0.001,61.3,0.001,65.7,<0.000,N/A,0.003,23.9,17.635,0.3,0.001,55.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,032SMPL.d,12/21/2021 15:39,,Sample,,10-30_1_d6,,0.062,0.5,,,0.002,38.7,719.216,43.3,13.984,1.6,0.002,21.2,0.001,39.9,0.002,37.8,0.002,24.2,0.001,38.6,6.621,0.2,6.592,0.5,0.003,21.2,0.001,50.3,0.001,38.2,0.001,46.6,<0.000,N/A,0.002,21.6,9.344,0.1,0.001,53.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,033SMPL.d,12/21/2021 15:44,,Sample,,10-30_1_d7,,0.062,1.6,,,0.002,15.4,539.412,33.3,5.8,0.2,0.002,20.7,0.002,35,0.001,53.3,0.002,47,0.001,13.9,3.962,0.8,3.974,1.2,0.002,18.4,0.001,35.6,0.001,19.9,0.001,52.7,<0.000,N/A,0.002,32.6,5.411,0.4,0.001,36.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1138.76 is over the calibration range,FALSE,034SMPL.d,12/21/2021 15:49,,Sample,,10-30_1_d8,,0.063,4.4,,,0.002,34.3,1138.759,9.1,4.904,0.2,0.002,7.9,0.001,30.9,0.001,70.5,0.001,18.4,0.001,48.4,4.116,0.1,4.121,0.5,0.002,24,0.001,64.8,0.001,52.9,0.001,57.8,<0.000,N/A,0.001,47.5,5.266,0.4,0.001,54.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1138.76 is over the calibration range,FALSE,035SMPL.d,12/21/2021 15:54,,Sample,,10-60_1_d1,,0.062,1.8,,,0.004,8.1,1138.759,18.2,304.868,0.8,0.007,4.3,0.001,26.5,0.002,52.9,0.002,19.5,0.001,18.4,314.583,0.7,313.991,0.8,0.027,2.9,0.001,20.5,0.001,39.9,0.001,37.7,<0.000,N/A,0.048,1.2,383.468,0.2,0.005,7.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1138.76 is over the calibration range,FALSE,036SMPL.d,12/21/2021 15:59,,Sample,,10-60_1_d2,,0.062,1.8,,,0.004,22.1,1138.759,36.5,276.11,0.5,0.007,16.8,0.002,40.4,0.002,86.9,0.002,43.3,0.002,9.4,261.98,0.9,262.567,0.7,0.024,6.7,0.001,66.5,0.002,86.8,0.001,72.4,<0.000,N/A,0.04,1.3,330.413,0.6,0.005,16.7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,037SMPL.d,12/21/2021 16:04,,Sample,,10-60_1_d3,,0.061,0.6,,,0.004,7,719.216,43.3,248.868,0.5,0.006,1.6,0.001,18.7,0.003,33.3,0.003,11.2,0.002,52.1,212.249,0.6,214.908,1.2,0.022,7.5,0.001,10,0.001,35.9,0.001,15,<0.000,N/A,0.033,0.3,281.115,0.2,0.004,7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1318.56 is over the calibration range,FALSE,038SMPL.d,12/21/2021 16:09,,Sample,,10-60_1_d4,,0.06,6.9,,,0.003,6.4,1318.563,15.7,221.835,0.4,0.006,4.9,0.001,16.1,0.002,34.6,0.002,15,0.001,29.4,172.083,0.4,173.478,0.6,0.02,1.5,0.001,12.9,0.001,17.6,0.001,26.8,<0.000,N/A,0.027,1.7,238.444,0.9,0.003,11.9,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,039SMPL.d,12/21/2021 16:14,,Sample,,cal check 25,,22.09,0.4,,,24.056,0.6,659.281,15.7,24.479,0.9,24.077,2.4,24.207,0.4,23.797,0.3,23.772,0.2,23.751,0.2,24.533,1.6,24.326,1.5,23.603,0.4,24.229,0.9,23.787,0.4,24.347,1,23.144,0.2,24.556,1.2,23.967,0.8,24.725,0.8,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,040SMPL.d,12/21/2021 16:19,,Sample,,blank,,0.158,2,,,0.002,25.9,479.477,43.3,0.003,13.3,0.002,18.6,0.001,8.8,0.001,58.1,0.001,33,0.001,25,0.003,1.7,0.003,25.5,0.001,51.5,0.001,19.9,0.001,17.9,0.001,29.8,<0.000,N/A,0.001,19.9,0.004,22.5,0.001,17.1,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,041SMPL.d,12/21/2021 16:24,,Sample,,10-60_1_d5,,0.073,0.9,,,0.003,20,899.02,60,156.556,0.9,0.005,6.7,0.001,41.7,0.002,12.4,0.001,40.3,0.001,24.7,97.863,0.7,98.402,0.3,0.015,7.9,0.001,39.2,0.001,28.6,0.001,52.7,<0.000,N/A,0.016,0.1,147.315,0.3,0.002,10.9,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,042SMPL.d,12/21/2021 16:29,,Sample,,10-60_1_d6,,0.066,3,,,0.003,24,659.281,56.8,101.21,0.4,0.004,17.8,0.001,19,0.001,75.5,0.002,35,0.001,51.5,53.563,0.7,53.638,0.8,0.01,4.2,0.001,43.7,0.001,46.4,0.001,38.6,<0.000,N/A,0.008,4.7,84.165,1.3,0.001,38.1,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1018.89 is over the calibration range,FALSE,043SMPL.d,12/21/2021 16:34,,Sample,,10-60_1_d7,,0.064,2.2,,,0.003,7.8,1018.889,20.4,55.731,0.5,0.003,3.1,0.001,21,0.002,36.7,0.002,24.3,0.001,12.1,25.441,1.2,25.62,0.9,0.006,21.9,0.001,20.3,0.001,11.4,0.001,14.9,<0.000,N/A,0.005,4.9,38.952,3.5,0.001,11.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,044SMPL.d,12/21/2021 16:39,,Sample,,10-60_1_d8,,0.061,1.3,,,0.002,13.3,479.477,21.7,25.378,1.1,0.002,14.8,0.001,34.2,0.001,66.1,0.001,8.4,0.001,34.6,11.23,0.3,11.266,1,0.003,22.7,0.001,76.8,0.001,52.8,0.001,47.1,<0.000,N/A,0.003,9,17.429,0.3,0.001,57.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,045SMPL.d,12/21/2021 16:44,,Sample,,50-10_1_d1,,0.068,12.5,,,0.002,16.2,839.085,32.7,46.436,0.8,0.003,14.1,0.001,35.9,0.001,62.4,0.001,50.9,0.001,34,43.917,1.6,43.947,0.3,0.005,22,0.001,43.7,0.001,12.5,0.001,40.9,<0.000,N/A,0.007,2.4,53.668,1.7,0.001,24.6,,
