Sample,,,,,,,,,45  Sc  [ No Gas ] ,,56  Fe  [ No Gas ] ,,89  Y  [ No Gas ] ,,113  In  [ No Gas ] ,,139  La  [ No Gas ] ,,140  Ce  [ No Gas ] ,,141  Pr  [ No Gas ] ,,144  Nd  [ No Gas ] ,,146  Nd  [ No Gas ] ,,147  Sm  [ No Gas ] ,,151  Eu  [ No Gas ] ,,153  Eu  [ No Gas ] ,,157  Gd  [ No Gas ] ,,159  Tb  [ No Gas ] ,,163  Dy  [ No Gas ] ,,165  Ho  [ No Gas ] ,,166  Er  [ No Gas ] ,,169  Tm  [ No Gas ] ,,172  Yb  [ No Gas ] ,,175  Lu  [ No Gas ] ,,103  Rh ( ISTD )  [ No Gas ] ,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000,FALSE,010CALS.d,12/09/21 11:49 AM,,CalStd,9,500,,12103657.33,0.3,,,29563670,0.5,43.33,58.1,39559216,0.4,37843985.33,1.7,47102230.67,0.2,12911126.89,1.3,8482307.33,1.2,7509562.5,0.4,24971478,0.7,27569417.09,0.4,8997278.33,0.7,55017553.33,0.5,13649183.33,0.7,54613760,0.6,18715381.33,1.2,57397880,1.6,12945579.67,1.1,58598242.67,1.6,130286.32,0.9
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000,FALSE,011CALS.d,12/09/21 11:53 AM,,CalStd,10,1000,,24522206.67,0.8,,,59700260,1.3,36.67,41.7,79703426.67,0.4,75768226.67,0.7,95311650.67,0.4,25902757.11,0.4,17309261.33,0.9,15225407,1.4,50795618.67,1.1,55881197.5,0.6,18296162,0.4,110549826.67,0.8,27554748,1.2,110216674.67,0.8,37760249.33,0.4,115185554.67,0.2,25941740,0.5,118971304,0.1,129617.24,0.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000,FALSE,012BLKV.d,12/09/21 11:57 AM,,BlkVrfy,,blank verify,,8666.78,2.8,,,780.03,1.4,30,66.7,984.05,3.9,1031.38,5.8,1203.4,5,370.02,7.2,241.33,5.6,188.67,21.2,626.69,5.3,736.72,4.8,204.67,7.2,1434.09,9.8,349.34,9.1,1361.42,4.2,470.68,3.6,1415.42,5.3,323.34,15.3,1480.76,4.5,128015.96,0.5
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 6105.49 is over the calibration range,FALSE,013SMPL.d,12/09/21 12:02 PM,,Sample,,1-D1,,12681.26,1.3,,,466651.6,0.7,346.69,26.2,2471775.08,1.8,7756537.83,1.2,778164.87,0.2,761747.1,0.8,558241.81,0.2,74530.2,0.8,20832.92,1.1,22934.59,0.9,74802.45,0.6,50658.45,0.6,55719.04,0.5,40554.97,0.1,36585.09,1.8,14000.43,2.5,18814.01,1,12437.48,0.7,130884.88,0.7
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1937.27 is over the calibration range,FALSE,014SMPL.d,12/09/21 12:07 PM,,Sample,,2-D1,,10481.41,1,,,45509.31,1.2,110,31.5,301593.98,0.3,369353.96,0.1,84006.97,0.8,86699.1,1.7,64026.06,0.4,7940.49,1.5,2350.9,3.4,2713.72,3,7533.59,0.5,4759.58,2,4830.28,2.3,3611.87,0.8,3172.42,2.7,1346.75,1,1545.44,5.9,1322.08,3.7,130377.84,0.3
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 5459.76 is over the calibration range,FALSE,015SMPL.d,12/09/21 12:12 PM,,Sample,,3-D1,,10790.98,1.4,,,552984.33,0.6,310.02,0,3579893.33,0.8,10315004,1,1005746.54,0.7,948853.16,0.3,694658.92,0.4,91749.63,0.6,25166,1.2,27861.35,1.5,92222.69,0.7,61544.68,0.2,67281.69,0.8,47064.56,0.7,42149.52,0.2,15253.23,1.5,20437.84,0.4,13139.53,0.4,129349.87,0.1
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 5694.57 is over the calibration range,FALSE,016SMPL.d,12/09/21 12:17 PM,,Sample,,4-D1,,10077.76,0.5,,,483949.29,0.2,323.35,23.4,2741200.83,0.2,8639591.33,0.4,825632.23,0.3,796328.53,0.3,581323.81,0.1,77199.62,0.3,21677.7,1,24380.6,1.9,78645.76,0.8,52757.64,1.1,58841.52,0.8,41862.6,0.4,37910.2,0.9,13811.56,1.1,18794.64,0.2,12022.42,1.2,129767.63,0.2
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 5107.42 is over the calibration range,FALSE,017SMPL.d,12/09/21 12:22 PM,,Sample,,5-D1,,9527.36,0.5,,,465584.16,0.5,290.01,12.4,2492242.83,0.3,7708798.17,0.5,777200.37,0.4,758266.08,0.2,557871.65,0.8,74273.44,0.5,20528.44,1.5,23225.13,3.5,74690.97,0.8,50402.3,1.4,55964.78,1.1,40227.32,0.4,37317.21,0.7,13638.04,1.3,18848.05,1,11802.23,1.6,130680.14,0.7
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 5577.05 is over the calibration range,FALSE,018SMPL.d,12/09/21 12:27 PM,,Sample,,6-D1,,9796.9,2.4,,,565750.33,0.3,316.68,11.1,3624084.5,0.6,10713134.33,0.6,1015928.15,0.5,955323.97,0.7,704066.33,0.6,92914.98,0.5,25541.38,0.7,28111.69,2.5,94017.04,0.9,62605.62,0.4,69046.3,0.4,48357.3,0.3,43015.05,1,15751.82,1.3,20863.18,1.5,13277.7,1.8,129921.38,0.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 2524.36 is over the calibration range,FALSE,019SMPL.d,12/09/21 12:32 PM,,Sample,,7-D1,,8973.29,4.7,,,46187.59,1,143.34,28.2,308857.43,0.4,381256.91,0.7,86195.14,0.4,89507.63,0.3,65774.81,0.1,7985.86,0.3,2392.91,1,2747.07,16.2,7740.38,2,4700.89,1.7,4738.24,3.1,3439.15,1.2,3233.1,2.9,1098.73,6,1516.1,3.7,1112.05,3.8,130058.86,0.3
45  Sc  [ No Gas ] :  CPS RSD value = 10.05 is over the allowed maximum = 5.00113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 4872.61 is over the calibration range,FALSE,020SMPL.d,12/09/21 12:37 PM,,Sample,,8-D1,,10646.67,10.1,,,557141.71,0.3,276.68,23.5,3610568.42,0.5,10434743.33,0.3,1010677.25,0.3,953782.95,0.8,698837.04,0.1,92086.61,0.8,25476.57,0.9,27587.19,1.2,92487.96,0.2,61556.64,0.3,67545.09,1.1,47307.47,0.2,42480.56,1,15261.88,1.5,20590.07,0.6,12922.67,0.8,130479.78,0.8
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 5694.51 is over the calibration range,FALSE,021SMPL.d,12/09/21 12:42 PM,,Sample,,9-D1,,9446.05,1.6,,,502183.91,0.6,323.35,7.8,2851673.33,0.3,9023455.67,0.9,855913.79,0.1,826932.41,0.5,605598.15,0.1,81112.96,0.8,22655.31,1,25108.78,2.9,81692.54,1,55382.68,0.9,61331.25,0.9,43561.47,0.3,39131.92,0.3,14365.49,1.2,19463.65,1.1,12321.38,0.6,131694.15,0.2
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 5753.22 is over the calibration range,FALSE,022SMPL.d,12/09/21 12:47 PM,,Sample,,10-D1,,9190.86,4,,,471730.53,0.5,326.68,12.7,2497699,0.5,7879482,0.6,786206.27,0.7,771106.87,0.7,564557.29,0.5,75356.88,0.6,20792.85,1.9,23268.62,1.1,75487.05,0.7,50676.04,1.2,56831.22,1.6,40595.11,0.8,37123.99,0.9,13566.63,0.5,18924.18,1.1,12037.11,2.2,130923.09,0.1
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000,FALSE,023SMPL.d,12/09/21 12:52 PM,,Sample,,cal check 10,,233833.3,0.4,,,572818.52,0.6,33.33,34.6,778568.38,0.4,743665.94,0.4,926592.75,0.2,256367.87,0.4,169987.55,0.6,149262.84,0.4,501378.54,0.4,554456.49,0.6,179293.42,0.2,1107689.04,0.2,273689.02,0.5,1106273.75,0.4,377143.84,0.3,1190134.21,1.3,259298.9,0.5,1209191.37,1.2,125485.92,0.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000,FALSE,024SMPL.d,12/09/21 12:57 PM,,Sample,,blank,,3585.16,1.1,,,67.33,15,16.67,91.7,74,25.8,144,7.2,50.67,14.9,10,100,12,44.1,8,25,18.67,22.3,33.33,124.9,8.67,35.3,54,22.2,18.67,22.3,53.33,18.9,19.33,11.9,54,25.7,17.33,17.6,49.33,2.3,125699.33,0.5
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 5811.92 is over the calibration range,FALSE,025SMPL.d,12/09/21 01:02 PM,,Sample,,11-D1,,9556.76,0.9,,,550690.27,0.5,330.02,5.3,3649446.33,1,10401000.33,0.4,1012382.23,0.5,949316.29,0.7,698578.83,0.7,91176.84,0.9,25157.98,0.5,27600.66,0.8,91889.03,0.8,60999.47,0.9,66616.75,1.3,46795.54,0.7,41902.64,0.4,15222.51,2.2,20087.27,1,12831.87,1,129946.3,0.2
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 5694.51 is over the calibration range,FALSE,026SMPL.d,12/09/21 01:07 PM,,Sample,,12-D1,,9027.69,2.3,,,504346.02,0.6,323.35,13.9,2864940.25,1.2,8895802,0.1,854711.86,0.2,821231.42,0.6,602518.96,0.1,80882.58,0.8,22366.85,0.4,24607.79,0.3,81469.47,0.6,55362.6,0.9,60887.06,0.4,43756.82,0.4,39208.17,0.6,14480.98,2.2,19424.94,0.6,12277.34,2,130490.29,0.8
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 5988.09 is over the calibration range,FALSE,027SMPL.d,12/09/21 01:12 PM,,Sample,,13-D1,,9052.37,2.2,,,557984.88,0.8,340.02,7.8,3540691.92,0.2,10418671.67,0.7,990315.08,0.2,932110.06,0.5,684202.56,0.1,90678.54,0.8,25085.17,0.5,27700.71,1,91995.13,0.4,61364.36,0.6,67551.73,0.8,47590.49,1.3,42534.79,1.4,15554.9,1.1,20511.3,0.7,12897.95,1,131268.85,1.8
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1467.64 is over the calibration range,FALSE,028SMPL.d,12/09/21 01:17 PM,,Sample,,14-D1,,8283.9,0.8,,,45982.31,0.4,83.34,38.6,309562.29,0.3,382037.97,0.2,86040.89,0.4,90705.88,1.3,65900.81,0.7,7955.84,1.3,2438.92,2.8,2623.72,4,7735.72,1.3,4632.87,1.4,4784.93,1.1,3464.49,3.7,3117.07,2.6,1099.39,3.5,1545.44,6.1,1106.06,3.7,131158.21,0.1
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 4931.31 is over the calibration range,FALSE,029SMPL.d,12/09/21 01:22 PM,,Sample,,15-D1,,9828.99,10.8,,,555179.11,0.3,280.01,19.9,3648831.25,0.7,10670225.33,1.3,1009956.71,0.2,950898.79,0.3,693460.44,0.2,91157.47,0,25167.32,1.6,28412.26,2,91910.45,0.8,61357.64,0.6,66889.61,0.6,46668.41,1.2,42205,0.2,15143.08,2.3,20344.35,1.6,12837.9,1.7,130358.99,0.7
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 5577.11 is over the calibration range,FALSE,030SMPL.d,12/09/21 01:27 PM,,Sample,,1-D2,,9127.1,1.6,,,503908.57,0.4,316.68,18,3029418.67,0.7,9449626.33,0.5,936047.17,0.2,904725.66,0.9,657694.67,0.4,86136.51,0.7,23311.19,1.5,25966.98,2.6,85436.94,1.1,56530.98,0.4,61888.65,1.2,43643.15,1,39936.38,1.1,14555.06,1.4,19756.75,0.8,12863.94,1.2,130244.57,0.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1995.91 is over the calibration range,FALSE,031SMPL.d,12/09/21 01:32 PM,,Sample,,2-D2,,8250.53,1.7,,,54868.26,0.3,113.33,5.1,396919.14,0.3,556814.83,0.4,111640.48,0.2,114820.2,0.4,84538.43,0.5,10120.03,0.9,2857.67,0.8,3280.54,5.8,9400.17,0.7,6004.11,1.8,5880.07,0.6,4182.72,1.5,3941.31,2.8,1395.42,2.9,1915.49,0.8,1288.74,1.7,131872.96,0.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 6868.64 is over the calibration range,FALSE,032SMPL.d,12/09/21 01:37 PM,,Sample,,3-D2,,9588.74,2.3,,,605347.31,0.1,390.02,6.8,4341275.17,0.3,12545377,0.5,1250902.54,0.6,1154347.9,0.3,828664.08,0.4,106550.89,1.1,28859.74,1.3,31609.84,0.9,106349.25,0.6,69726.29,1.2,74269.44,0.2,51616.68,0.5,46488.55,1.5,16603.56,0.4,22107.3,0.2,13981.77,1.8,131327.2,0.2
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 4109.41 is over the calibration range,FALSE,033SMPL.d,12/09/21 01:42 PM,,Sample,,4-D2,,9644.58,8.8,,,524590.14,0.9,233.34,10.8,3363773.75,0.5,10417705.33,1.3,987230.15,0.4,937845.74,0.2,686412.1,0.5,89826.03,1.1,24345.09,0.2,27246.36,1.6,89584.92,0,58605.5,1.5,64309.06,0.6,45146.99,0.5,40502.19,0.1,14839.39,0.5,19900.35,1,12671.06,1.6,131699.53,0.8
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 5166.18 is over the calibration range,FALSE,034SMPL.d,12/09/21 01:47 PM,,Sample,,5-D2,,9545.33,10.9,,,516809.47,0.3,293.35,15.7,3107646.67,0.4,9600669.67,0.5,953158.87,0.7,919018.19,0.3,673669.92,0.2,87040.99,0.2,23527.58,2.1,25646.46,2.4,85913.41,0.9,57467.82,0.6,62897.46,0.5,44392.41,0.8,40597.82,0.6,14929.49,1.5,20471.88,0.2,12851.24,1.9,131482.07,0.2
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000,FALSE,035SMPL.d,12/09/21 01:52 PM,,Sample,,cal check 25,,593959.27,0.2,,,1485313.83,0.6,23.33,49.5,2006315.54,1.5,1910842.5,1,2372394.58,0.7,643279.3,0.7,424676.11,0.1,372064.62,0.2,1282406.09,1.8,1417461.02,2.3,447924.41,0.6,2780110.08,0.5,681599.69,0,2801052.67,0.9,938383.71,0.5,2941438.75,0.9,650017.98,0.2,3005138.08,1,126148.49,0.5
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000,FALSE,036SMPL.d,12/09/21 01:57 PM,,Sample,,blank,,3958.6,3.5,,,87.33,14.5,46.67,12.4,114,3.5,190,12.4,96,6.3,23.33,89.2,23.33,34.6,16,21.7,48,19.1,53.33,47.2,12.67,9.1,83.33,16.3,22.67,22.2,88,12,30,40.6,81.33,10.2,21.33,10.8,86.67,14.8,126022.16,0.3
45  Sc  [ No Gas ] :  CPS RSD value = 9.57 is over the allowed maximum = 5.00113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 6105.49 is over the calibration range103  Rh ( ISTD )  [ No Gas ] :  CPS RSD value = 16.72 is over the allowed maximum = 5.00,FALSE,037SMPL.d,12/09/21 02:02 PM,,Sample,,6-D2,,10239.08,9.6,,,584381.06,1.7,346.69,9.3,4185047.42,1.9,12248046.67,2.3,1194716.54,1.4,1093903.26,1.9,792517.25,1.7,102373.46,1.6,27486.08,1.9,30464.04,2.6,102644.77,2,67554.71,1,71822.8,1.7,49912.01,1.6,44783.13,1.5,16317.2,1.3,21321.28,1.3,13812.9,1,147063.29,16.7
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 2524.30 is over the calibration range,FALSE,038SMPL.d,12/09/21 02:07 PM,,Sample,,7-D2,,8713.61,2.2,,,56318.81,0.7,143.34,40.3,410360.21,0.8,580309.69,0.4,115486.27,0.3,118496.34,0.4,86626.87,0.4,10406.26,2,3157.08,1.4,3500.62,6.6,9904.56,0.8,6398.31,3,6136.19,0.6,4632.88,2.8,3983.32,1.2,1646.12,3.8,1936.83,4.7,1718.13,2.6,131099.44,0.9
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 5577.11 is over the calibration range,FALSE,039SMPL.d,12/09/21 02:12 PM,,Sample,,8-D2,,9763.53,2.4,,,592820.98,0.9,316.68,7.9,4265470.67,0.1,12211036.67,0.5,1221035.21,0.7,1124782.8,0.4,808352.35,0.4,103881.95,0.4,28128.79,0.7,31192.24,1.3,102877.65,0.6,67837.45,0.4,72163.36,0.4,50620.13,0.8,44902.87,1.1,16479.41,1.8,21782.04,1.8,14081.89,0.8,129489.44,1.2
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 5342.29 is over the calibration range,FALSE,040SMPL.d,12/09/21 02:17 PM,,Sample,,9-D2,,9566.71,4.1,,,545911.85,0.1,303.35,18.2,3478292,1,10813666,1,1024330.46,0.6,974088.32,0.9,712903.12,0.5,94062.64,0.4,25413.16,0.4,28372.31,2.8,93045.36,0.8,62087.8,0.5,66802.44,1,47229.15,0.5,42512.64,0.4,15775.19,0.7,21153.02,1.4,13600.69,2.4,128555.95,0.7
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 5048.72 is over the calibration range,FALSE,041SMPL.d,12/09/21 02:22 PM,,Sample,,10-D2,,9069.04,1.8,,,513195.41,0.2,286.68,33.2,3088536.42,0.4,9662305.67,0.8,947555.81,0.7,910361.86,0.8,668302.83,0.3,87085.45,0.8,23076.72,1,25576.35,3.4,86662.31,0.3,57206.63,0.4,62669.66,0.3,44175.6,0.3,40118.97,1.5,15038.28,0.6,20055.22,0.4,12794.52,0.6,129605.62,0.1
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 5342.29 is over the calibration range,FALSE,042SMPL.d,12/09/21 02:27 PM,,Sample,,11-D2,,9384.59,0.9,,,588865.36,0.8,303.35,22.4,4323782.33,0.5,12383964,1.2,1241966,0.6,1137691.21,0.9,816712.42,0.6,104704.8,0.7,27842.18,1.8,31228.98,1.2,103973.19,0.7,67748.25,1.2,71915.96,0.3,49579.32,0.5,44890.21,0.5,15892.66,0.2,21219.74,0.5,13553.3,0.4,128580.45,0.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 5224.89 is over the calibration range,FALSE,043SMPL.d,12/09/21 02:32 PM,,Sample,,12-D2,,9065.2,2.2,,,537267.75,0.4,296.68,16.6,3421237,1.1,10643647.33,0.5,1002075.89,0.1,956856.52,1.1,696943.69,0.5,91471.56,0.7,24684.39,0.9,27015.91,1,91404.31,0.4,60466.82,0.4,65959.38,0.1,46007.39,0.9,41474.68,0.9,15239.21,1.3,20674.88,0.7,13049.45,1.8,128267.42,1
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 6575.12 is over the calibration range,FALSE,044SMPL.d,12/09/21 02:37 PM,,Sample,,13-D2,,9435.97,0.4,,,620598.12,0.4,373.35,18.8,4333777.5,0.5,12830244.33,0.3,1238903.41,0.7,1148766.7,1.8,825065,0.7,107113.15,0.8,28900.45,1,31800.24,1.1,106082.29,0.1,70145.85,0.5,75368.39,0.8,52559.86,1,46785.55,0.4,16882.61,1.3,22495.31,2,14325.48,0.4,128057.52,0.4
