Sample,,,,,,,,,45  Sc  [ No Gas ] ,,56  Fe  [ No Gas ] ,,89  Y  [ No Gas ] ,,113  In  [ No Gas ] ,,139  La  [ No Gas ] ,,140  Ce  [ No Gas ] ,,141  Pr  [ No Gas ] ,,144  Nd  [ No Gas ] ,,146  Nd  [ No Gas ] ,,147  Sm  [ No Gas ] ,,151  Eu  [ No Gas ] ,,153  Eu  [ No Gas ] ,,157  Gd  [ No Gas ] ,,159  Tb  [ No Gas ] ,,163  Dy  [ No Gas ] ,,165  Ho  [ No Gas ] ,,166  Er  [ No Gas ] ,,169  Tm  [ No Gas ] ,,172  Yb  [ No Gas ] ,,175  Lu  [ No Gas ] ,,103  Rh ( ISTD )  [ No Gas ] ,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,010CALS.d,12/21/2021 13:51,,CalStd,5,25,,952635.35,1.7,,,1957104.46,0.2,36.67,87.7,2493259.5,0.9,2407228.58,1,2930186.25,0.9,789585.72,0.8,520037.87,0.2,455583.02,0.6,1549084,0.5,1722652.89,0.1,542095.9,0.5,3351633.58,0.6,817896.02,0.5,3381966.33,0.8,1118836.46,0.4,3472475.67,0.6,770288.16,0.2,3562956.5,0.4,181000.4,0.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,011CALS.d,12/21/2021 13:56,,CalStd,6,50,,1909000.92,0.8,,,3893295.42,0.7,53.33,28.6,4940194.5,0.6,4754915.33,0.5,5763280,0.3,1643562.01,1.4,1057584.63,0.2,922963.27,0.5,3120638.17,0.2,3486961.3,0.7,1105747.96,0.4,6634651,0.7,1693716.5,1.2,6669458.33,0.6,2309157,0.7,6949161.17,0.9,1610351.63,1.3,7040683,0.9,180985.45,0.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,012CALS.d,12/21/2021 14:01,,CalStd,7,100,,3741438.08,1,,,7624891.5,0.4,43.33,96.1,9679989.67,0.8,9346087,0.4,11511155.67,1.4,3249557.87,1.5,2160795.5,1.6,1892628.79,0.2,6148585,1.2,6806877.61,0.6,2250890.08,1,13228112.33,1,3361820.92,1.1,13165109,0.9,4548978.5,0.4,13849161.33,0.7,3190307.42,0.4,14050366,0.8,180494.93,0.5
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,013CALS.d,12/21/2021 14:06,,CalStd,8,250,,9306117.67,1.3,,,19068026,1,40,0,24030716.67,1,23150798.67,0.8,28431229.33,1.2,7812681.97,1.3,5168422.83,0.4,4560618.67,0.2,15032798,0.9,16679141.42,0.3,5416106.67,0.4,32825458.67,0.8,8158681,1,32834783.33,0.9,11042241,0.8,34220476,0.3,7685855.83,0.3,34469865.33,0.6,180254.07,0.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,014CALS.d,12/21/2021 14:10,,CalStd,9,500,,18429658,0.5,,,37549806.67,0.6,36.67,56.8,47708446.67,0.3,46187428,1.2,56097932,0.2,15466167.69,1,10131177.67,0.7,8871600,0.2,29564309.33,0.4,32993177.01,0.7,10638542,1.2,64764372,0.6,15997433.67,1,64724880,0.5,21879855.33,0.6,67046104,0.9,14947022.67,0.4,68011296,0.4,181085.26,0.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,015CALS.d,12/21/2021 14:14,,CalStd,10,1000,,37442714.67,0.7,,,75790882.67,0.2,36.67,15.7,96285368,0.4,93409701.33,0.3,114117930.7,0.5,31126719.54,0.3,20658110,0.9,18063274,0.4,60180644,0.3,66812252.34,0.5,21671000.67,1.3,131683093.3,0.3,32591043.33,0.3,130688448,0.5,43943837.33,0.6,135680666.7,0.7,30501341.33,0.5,137066192,0.7,182518.82,0.2
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,016BLKV.d,12/21/2021 14:18,,BlkVrfy,,blank verify,,11653.68,2.3,,,985.38,2.1,30,88.2,1200.73,13.3,1181.39,8.3,1419.42,6.5,420.02,22.7,245.34,30.2,231.33,4.9,766.7,12.8,743.39,3.4,250,9.4,1570.11,4.7,366.01,5.2,1540.77,9.3,539.35,9.6,1626.12,6.1,369.34,9.5,1626.78,10.4,177926.19,0.1
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,017SMPL.d,12/21/2021 14:24,,Sample,,0608_2_10-30,,4448.75,2.4,,,331.34,12.7,30,88.2,7074309,0.2,474.68,2.7,319.34,7.8,83.33,45.4,74.67,11.2,58,15,2774778.25,0.9,3082643.71,0.4,200,3.6,314.01,3.3,83.33,13.2,344.68,11.4,110,3.1,1206.07,1.5,2207434.17,0.2,424.01,10.8,173539.32,0.3
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1078.82 is over the calibration range,FALSE,018SMPL.d,12/21/2021 14:29,,Sample,,0608_2_10-60,,3564.49,0.9,,,346.68,1.9,60,33.3,21437257.33,0.3,594.02,0.9,229.33,12.5,66.67,8.7,54.67,22.4,40,8.7,10470821.33,1.1,11682073.16,0.8,457.34,9.6,223.33,1.4,69.33,7.3,243.34,16.9,90.67,21.7,3647.21,0.5,7558786.83,0.2,586.69,2.5,172823.81,0.6
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,019SMPL.d,12/21/2021 14:34,,Sample,,0608_2_50-10,,3225.73,1.9,,,192.67,8.8,30,57.7,3781653.17,0.2,429.34,5.6,172.67,9.3,66.67,60.6,32.67,9.4,16.67,61.6,1594708.96,0.4,1769322.73,0.7,112,12.4,156,5.9,43.33,11.6,182.67,8.9,63.33,28.7,628.69,4.4,810734.96,0.2,213.33,2.4,166401.49,0.7
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,020SMPL.d,12/21/2021 14:39,,Sample,,0608_2_50-30,,2953,2.8,,,259.33,0.4,30,33.3,13265851,0.8,568.02,7.2,163.33,1.9,73.34,79.9,42,45.9,26,20.4,6675848.17,0.2,7415816.56,0.5,281.34,2.3,134.67,10.7,38,19,124.67,9.3,48.67,18.5,2364.9,4,4152866,0.3,355.34,8.3,167296.15,0.8
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1018.89 is over the calibration range,FALSE,021SMPL.d,12/21/2021 14:44,,Sample,,2493_3_10-30,,2735.62,0.8,,,200,12.1,56.67,50.9,9689626,0.5,307.34,2.9,91.33,19.1,26.67,57.3,22,15.7,18,48.4,4310896.17,0.8,4785484.62,1.5,218,6.4,57.33,22.4,26.67,21.7,61.33,24,29.33,10.4,1398.76,7.5,2882876.17,0.5,186.67,10.2,170910.1,0.8
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1138.76 is over the calibration range,FALSE,022SMPL.d,12/21/2021 14:49,,Sample,,2493_3_10-60,,2571.59,1.7,,,238,5.9,63.33,9.1,24114266.67,0.6,512.01,1.7,84.67,4.9,23.33,99,32.67,28.3,13.33,22.9,12724697,1.5,14189441.87,0.2,505.35,5.7,60.67,14.9,25.33,18.2,68,25.1,33.33,30.2,4311.43,0.4,8361101,1,424.68,6.3,171013.92,0.7
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1258.63 is over the calibration range,FALSE,023SMPL.d,12/21/2021 14:54,,Sample,,2493_3_50-10,,2612.93,0.9,,,200,9,70,24.7,2786855.42,0.4,268,11.3,74.67,5.6,46.67,24.7,22,18.2,6.67,34.6,1031648.19,0.1,1158362.28,1.4,72.67,15.9,40.67,18.6,18.67,50.6,48,11,18,40.1,400.68,6.8,555941.96,0.2,55.33,20.6,165833.4,0.3
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,024SMPL.d,12/21/2021 14:59,,Sample,,2493_3_50-30,,2572.92,3.2,,,204.67,8.3,40,25,12375693.67,0.6,462.68,2.6,48,7.2,23.33,65.5,16.67,34.6,9.33,24.7,5960010.17,0.3,6550995.11,0.5,261.34,14.4,16.67,25,5.33,21.7,21.33,32.9,16.67,73.3,1999.51,1.2,3720476.5,1.2,186,4.7,166371.78,0.7
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,025SMPL.d,12/21/2021 15:04,,Sample,,10-30_1_d1,,2422.23,2.1,,,169.33,14.8,43.33,35.3,13892616.33,0.7,350.68,3.3,48,8.3,10,0,12,50,4,50,8263743.17,0.3,9168070.7,1,285.34,11.6,20.67,11.2,12.67,9.1,30.67,10,8.67,48,2760.98,1.9,5368012.67,0.6,271.34,6.2,172817.75,0.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,026SMPL.d,12/21/2021 15:09,,Sample,,10-30_1_d2,,2286.21,2.9,,,134,23.9,53.33,21.7,11365671,0.6,306.68,11.8,56,25.8,16.67,91.7,17.33,17.6,8,66.1,5858154.5,0.6,6556660.32,0.5,236,7.8,26.67,34.6,10,60,19.33,58.8,14.67,43.8,2005.51,4.9,4051217.75,0.3,206.67,12.3,171937.96,0.5
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,027SMPL.d,12/21/2021 15:14,,Sample,,cal check 10,,334617.45,0.7,,,727792.04,0.1,46.67,53.9,942614.54,0.6,907463.52,0.1,1126166.75,1.9,305108.05,0.8,201558.73,0.2,176681.89,0,593709.87,0.1,660308.04,1,211740.98,0.1,1344891.38,1.7,321597.3,0.6,1344633,0.8,436346.36,0.3,1408076.33,0.5,303361.34,0.2,1414856.92,0.4,171934.99,0.2
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,028SMPL.d,12/21/2021 15:19,,Sample,,blank,,5349.74,2.2,,,143.33,20.3,40,43.3,357.34,17.6,237.33,16.5,180,24.4,66.67,67.6,30,20,26,26.6,168,27.7,170.01,17.6,39.33,17.9,188.67,12.4,52,25.2,191.33,22.5,84.67,31.5,198,23.9,118,18.9,211.34,29.5,172901.06,0.6
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,029SMPL.d,12/21/2021 15:24,,Sample,,10-30_1_d3,,2700.95,3.9,,,198,9.9,40,43.3,9095187,0.6,355.34,11,146,26.7,23.33,107.9,40.67,27.1,21.33,30.1,4013699.42,1.1,4422132.54,0.3,190.67,2.6,118,49.9,36.67,25.8,138,38.6,59.33,33.9,1400.76,3.5,2922447.08,0.5,264.01,23,171184.61,0.2
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1138.76 is over the calibration range,FALSE,030SMPL.d,12/21/2021 15:29,,Sample,,10-30_1_d4,,2413.56,2.3,,,183.33,16.6,63.33,39.7,7172374.83,0.6,289.34,17.3,107.33,18.8,63.34,55.5,26.67,38.5,18,29.4,2796004.25,0.1,3091203.08,0.2,154,22.2,91.33,37.4,26,20.4,85.33,36,41.33,40.3,1032.72,6.9,2082579.96,1.1,186,22.5,171412.56,0.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,031SMPL.d,12/21/2021 15:34,,Sample,,10-30_1_d5,,2424.9,3.3,,,198.67,33.9,46.67,32.7,2479510.75,1.9,254.67,24.8,134.67,48.9,80,37.5,23.33,38.7,23.33,82.4,686369.57,0.4,767847.8,0.9,64.67,17.6,118.67,62.5,41.33,61.3,112.67,65.7,44.67,53.4,350.01,23.9,536311.9,0.3,148,55.5,170509.02,0.6
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,032SMPL.d,12/21/2021 15:39,,Sample,,10-30_1_d6,,2300.21,0.5,,,167.33,38.7,40,43.3,1344208.33,1.6,215.34,21.2,148,39.9,66.67,37.8,33.33,24.2,16.67,38.6,397216.08,0.2,439469.12,0.5,62.67,21.2,159.33,50.3,30.67,38.2,147.33,46.6,41.33,43.4,283.34,21.6,284185.62,0.1,150,53.5,168745.3,0.2
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,033SMPL.d,12/21/2021 15:44,,Sample,,10-30_1_d7,,2325.54,1.6,,,182.67,15.4,30,33.3,557483.85,0.2,218,20.7,177.33,35,43.33,53.3,31.33,47,16.67,13.9,237698.64,0.8,264937.26,1.2,45.33,18.4,129.33,35.6,40.67,19.9,129.33,52.7,48.67,23.7,230,32.6,164560.13,0.4,163.33,36.2,169686.98,0.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1138.76 is over the calibration range,FALSE,034SMPL.d,12/21/2021 15:49,,Sample,,10-30_1_d8,,2368.22,4.4,,,148,34.3,63.33,9.1,471389.52,0.2,171.33,7.9,117.33,30.9,43.33,70.5,22.67,18.4,18,48.4,246928.75,0.1,274713.83,0.5,34.67,24,82.67,64.8,18.67,52.9,78.67,57.8,45.33,68.5,180,47.5,160164.01,0.4,103.33,54.2,169900.49,0.9
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1138.76 is over the calibration range,FALSE,035SMPL.d,12/21/2021 15:54,,Sample,,10-60_1_d1,,2330.88,1.8,,,319.34,8.1,63.33,18.2,29305278,0.8,606.02,4.3,146.67,26.5,50,52.9,31.33,19.5,22.67,18.4,18873360.67,0.7,20933199.27,0.8,575.35,2.9,102,20.5,33.33,39.9,112.67,37.7,61.33,12.3,6505.04,1.2,11662095.33,0.2,650.02,7.2,169304.4,0.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1138.76 is over the calibration range,FALSE,036SMPL.d,12/21/2021 15:59,,Sample,,10-60_1_d2,,2329.55,1.8,,,322.67,22.1,63.33,36.5,26540947.33,0.5,623.36,16.8,194,40.4,70,86.9,49.33,43.3,32.67,9.4,15717472,0.9,17504810.99,0.7,526.68,6.7,186.67,66.5,54,86.8,188.67,72.4,60.67,76.2,5419.19,1.3,10048584.33,0.6,652.69,16.7,169221.16,0.3
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,037SMPL.d,12/21/2021 16:04,,Sample,,10-60_1_d3,,2276.87,0.6,,,303.34,7,40,43.3,23922260,0.5,604.69,1.6,168,18.7,90,33.3,54.67,11.2,29.33,52.1,12733851.67,0.6,14327476.04,1.2,468.01,7.5,145.33,10,45.33,35.9,142.67,15,50.67,47.6,4509.49,0.3,8549316.67,0.2,525.35,7,168955.43,0.6
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1318.56 is over the calibration range,FALSE,038SMPL.d,12/21/2021 16:09,,Sample,,10-60_1_d4,,2251.53,6.9,,,250.67,6.4,73.33,15.7,21323740,0.4,574.02,4.9,120,16.1,50,34.6,48,15,18,29.4,10324093.33,0.4,11565448.58,0.6,425.34,1.5,103.33,12.9,34,17.6,108.67,26.8,40.67,48.5,3623.2,1.7,7251615.83,0.9,408.01,11.9,169260.26,1.2
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,039SMPL.d,12/21/2021 16:14,,Sample,,cal check 25,,824473.4,0.4,,,1820825.59,0.6,36.67,15.7,2353056.75,0.9,2243489.92,2.4,2753458,0.4,740329.31,0.3,489521.42,0.2,427968.77,0.2,1471866.92,1.6,1621748.52,1.5,509919.32,0.4,3180417.5,0.9,772856.46,0.4,3177298.75,1,1054821.87,0.2,3326547.33,1.2,728874.59,0.8,3385961.5,0.8,169522.83,0.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,040SMPL.d,12/21/2021 16:19,,Sample,,blank,,5897.3,2,,,116,25.9,26.67,43.3,306.01,13.3,195.33,18.6,165.33,8.8,43.33,58.1,28.67,33,24,25,178.67,1.7,193.34,25.5,28,51.5,176,19.9,39.33,17.9,153.33,29.8,56,15.6,162.67,19.9,108.67,22.5,185.33,17.1,170158.39,0.6
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,041SMPL.d,12/21/2021 16:24,,Sample,,10-60_1_d5,,2714.95,0.9,,,200,20,50,60,15048816,0.9,454.01,6.7,135.33,41.7,46.67,12.4,27.33,40.3,18.67,24.7,5871293.17,0.7,6560283.45,0.3,316.68,7.9,101.33,39.2,21.33,28.6,92,52.7,46,47,2105.52,0.1,4480172.33,0.3,302.01,10.9,169492.96,0.1
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,042SMPL.d,12/21/2021 16:29,,Sample,,10-60_1_d6,,2478.24,3,,,202,24,36.67,56.8,9728773,0.4,346.68,17.8,115.33,19,33.33,75.5,40,35,14,51.5,3213529.5,0.7,3575954.53,0.8,224.67,4.2,72,43.7,29.33,46.4,109.33,38.6,32.67,33.7,1128.73,4.7,2559635,1.3,196.67,38.1,168642.04,0.3
