Sample,,,,,,,,,45  Sc  [ No Gas ] ,,56  Fe  [ No Gas ] ,,89  Y  [ No Gas ] ,,113  In  [ No Gas ] ,,139  La  [ No Gas ] ,,140  Ce  [ No Gas ] ,,141  Pr  [ No Gas ] ,,144  Nd  [ No Gas ] ,,146  Nd  [ No Gas ] ,,147  Sm  [ No Gas ] ,,151  Eu  [ No Gas ] ,,153  Eu  [ No Gas ] ,,157  Gd  [ No Gas ] ,,159  Tb  [ No Gas ] ,,163  Dy  [ No Gas ] ,,165  Ho  [ No Gas ] ,,166  Er  [ No Gas ] ,,169  Tm  [ No Gas ] ,,172  Yb  [ No Gas ] ,,175  Lu  [ No Gas ] ,,103  Rh ( ISTD )  [ No Gas ] ,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,010CALS.d,,12/4/2021 19:43,CalStd,9,500,,493.301,1,,,494.056,1.3,740.516,10.8,490.211,0.4,493.696,0.4,494.169,1.1,496.663,0.6,487.469,0.3,490.345,0.8,494.021,0.4,490.97,0.9,488.789,0.7,491.922,0.9,491.183,0.7,493.894,0.6,493.853,0.4,494.848,0.6,494.639,0.7,497.251,1.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,011CALS.d,,12/4/2021 19:48,CalStd,10,1000,,1003.935,0.7,,,1004.053,0.7,601.669,81,1006.213,0.9,1004.022,0.8,1003.952,0.8,1001.683,0.3,1006.326,0.5,1004.595,0.6,1003.323,0.3,1004.887,1.2,1005.797,0.8,1004.354,0.6,1004.089,0.5,1003.307,0.2,1003.476,0.9,1002.764,0.6,1002.317,0.7,1001.464,0.4,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,012BLKV.d,,12/4/2021 19:52,BlkVrfy,,blank verify,,0.428,2.4,,,0.01,7.9,786.798,53.9,0.009,6.1,0.011,7.6,0.009,9.8,0.01,21.3,0.01,13.7,0.011,16,0.01,9.5,0.01,12.7,0.011,3.7,0.01,4.8,0.01,6.4,0.009,5.3,0.385,0.3,0.01,9,0.009,6.4,0.01,8.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,013SMPL.d,,12/4/2021 19:57,Sample,,1327_1_10-30,,0.175,0.7,,,0.01,5.4,786.798,66.8,47.219,0.2,0.009,4,0.007,7.1,0.008,11.6,0.007,2.4,0.008,9.7,26.468,0.6,26.551,1.6,0.012,13.7,0.007,3.3,0.007,10.6,0.007,9.3,0.383,0.1,0.011,5.7,40.33,0.4,0.007,5.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,014SMPL.d,,12/4/2021 20:02,Sample,,1327_1_10-60,,0.137,1.8,,,0.005,10.9,971.927,14.3,212.678,1,0.006,6.8,0.002,4.5,0.002,31.2,0.003,17.4,0.002,46.7,161.124,0.9,159.298,0.5,0.019,5.9,0.002,3.8,0.002,24.1,0.002,7.1,0.378,0.1,0.026,6.2,227.091,0.5,0.004,4.7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,015SMPL.d,,12/4/2021 20:07,Sample,,1327_1_50-10,,0.117,1,,,0.004,20.3,925.645,31.2,11.277,0.3,0.003,11.3,0.001,19.4,0.001,25,0.002,22.9,0.001,46.2,7.152,0.2,7.146,0.5,0.002,7.2,0.001,27.5,0.001,19.5,0.001,12,0.377,0.1,0.002,22.4,6.82,0.4,0.001,37.6,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,016SMPL.d,,12/4/2021 20:12,Sample,,1327_1_50-30,,0.106,2.8,,,0.004,5.3,555.387,66.1,87.632,0.4,0.006,2,0.001,12.1,0.002,31.2,0.002,32.9,0.001,50.9,55.64,0.8,55.302,1.5,0.009,16.2,0.001,18.8,0.001,17.7,0.001,14.8,0.377,0.1,0.009,4.4,72.305,0.5,0.002,5.7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,017SMPL.d,,12/4/2021 20:17,Sample,,1327_2_10-30,,0.102,1.3,,,0.004,11.5,601.669,13.3,55.439,0.4,0.003,15.2,0.001,19.9,0.002,40,0.002,14.2,0.001,34.3,32.198,0.8,31.948,1.2,0.005,19.5,0.001,15.5,0.001,14.3,0.001,24.4,0.377,0,0.005,6.4,50.221,0.8,0.001,13.6,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1018.21 is over the calibration range,FALSE,018SMPL.d,,12/4/2021 20:22,Sample,,1327_2_10-60,,0.093,1,,,0.004,22.7,1018.209,20.8,216.906,0.7,0.005,7.7,0.001,10,0.001,57.3,0.001,36.3,0.001,12.5,167.543,0.9,167.08,0.8,0.018,9.8,0,33.9,0.001,12.4,0.001,20.8,0.376,0,0.026,3,234.337,1,0.003,0.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,019SMPL.d,,12/4/2021 20:27,Sample,,1327_2_50-10,,0.089,1.4,,,0.003,3.2,786.798,53.9,13.642,2.2,0.002,2.7,0.001,4.2,0.001,86.6,0.001,11.5,0,41.7,7.887,0.9,7.903,0.4,0.002,30.5,0,28.4,0,34.6,0,36.3,0.376,0.1,0.001,11.5,8.16,0.3,0,32.7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1388.51 is over the calibration range,FALSE,020SMPL.d,,12/4/2021 20:32,Sample,,1327_2_50-30,,0.091,1.6,,,0.003,16.3,1388.514,26.5,105.261,0.4,0.005,7.4,0,19.1,0.001,50,0.001,45.8,0,43.3,73.099,0.9,72.307,1,0.009,9.7,0,76,0,56.7,0,40,0.376,0,0.012,4.2,90.712,0.5,0.001,15.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,021SMPL.d,,12/4/2021 20:37,Sample,,1327_3_10-30,,0.083,0.2,,,0.003,11.7,786.798,36.7,53.492,0.5,0.003,16.2,0,31.6,0.002,35.3,0.001,40,0.001,74,30.56,0.8,30.905,0.1,0.005,10.6,0,20,0.001,30.2,0,4.2,0.376,0,0.005,5.4,45.949,0.3,0.001,10.7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,022SMPL.d,,12/4/2021 20:42,Sample,,1327_3_10-60,,0.082,0.3,,,0.004,6.9,786.798,20.4,222.581,0.6,0.005,9.7,0,16.6,0.001,65.5,0.001,23.4,0.001,105.8,171.245,1.1,172.495,1.2,0.021,6.8,0,12.4,0,13.3,0,4.3,0.376,0.1,0.027,1.8,237.53,0.8,0.003,12.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,023SMPL.d,,12/4/2021 20:47,Sample,,cal check 10,,8.707,1,,,9.313,0.5,833.08,44.1,9.484,0.3,9.471,0.2,9.525,0.3,9.584,0.8,9.538,0.8,9.501,0.6,9.605,0.5,9.588,0.6,9.476,0.5,9.885,1.7,9.631,0.4,9.666,0.6,10.017,0.4,9.895,0.6,9.712,0.3,9.961,1.8,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,024SMPL.d,,12/4/2021 20:52,Sample,,blank,,0.188,1.5,,,0.001,16.6,509.105,78.7,0.002,11,0.001,14.7,0,8.2,0,100,0,69.3,0,21.7,0.002,12.1,0.002,21.6,0,15.7,0,14.1,0,20.4,0,20.5,0.376,0,0,9.6,0.002,20.3,0,13.9,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,025SMPL.d,,12/4/2021 20:57,Sample,,1327_3_50-10,,0.093,1.5,,,0.003,10.1,740.516,43.3,10.97,0,0.003,11,0.001,18.8,0.002,35.3,0.001,12.4,0.001,12.4,7.158,0.7,7.137,1,0.002,22.9,0,46.5,0,69.3,0,29,0.376,0,0.001,8.6,6.95,0,0,24.7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1249.67 is over the calibration range,FALSE,026SMPL.d,,12/4/2021 21:02,Sample,,1327_3_50-30,,0.088,2.9,,,0.003,8.2,1249.667,19.2,92.761,0.8,0.005,6.5,0,17.1,0.001,65.5,0.002,39.3,0,66.7,61.626,0.9,60.975,1,0.009,4,0,9.1,0,20,0,45.1,0.376,0,0.01,1.2,78.564,1.2,0.001,3.7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,027SMPL.d,,12/4/2021 21:07,Sample,,0625_1_10-30,,0.08,1.7,,,0.004,9.3,833.08,16.7,80.263,0.3,0.004,6.3,0,22.8,0.002,13.3,0.001,40.3,0,88.2,52.025,1.3,51.549,0.5,0.007,7.4,0,27,0,50,0,9.1,0.376,0,0.008,7.4,71.333,1,0.001,21.1,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,028SMPL.d,,12/4/2021 21:12,Sample,,0625_1_10-60,,0.077,4.1,,,0.004,8.2,601.669,87.4,234.951,0.4,0.006,6.4,0,20,0.001,21.7,0.001,51.6,0.001,44.6,187.753,0.5,187.421,0.4,0.022,2.6,0,53.9,0,66.1,0,34.6,0.376,0,0.029,2.9,248.566,0.3,0.003,5.4,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,029SMPL.d,,12/4/2021 21:17,Sample,,0625_1_50-10,,0.081,2.5,,,0.003,3.5,647.951,44.6,28.24,0.3,0.003,6.6,0,18.4,0,43.3,0.001,34.4,0,69.3,16.033,0.4,15.932,0.6,0.003,3.6,0,75.5,0,78.7,0,28.6,0.376,0,0.003,14,16.005,0.2,0,44.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1157.06 is over the calibration range,FALSE,030SMPL.d,,12/4/2021 21:22,Sample,,0625_1_50-30,,0.082,5.8,,,0.004,8.4,1157.056,25,125.078,0.5,0.006,2.8,0,18.9,0.001,88.2,0.001,44.3,0.001,16.7,97.738,0.3,95.725,0.3,0.012,3.5,0,36.5,0,60.3,0,22.3,0.376,0,0.015,3.1,117.509,0.9,0.001,5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1110.82 is over the calibration range,FALSE,031SMPL.d,,12/4/2021 21:27,Sample,,0625_2_10-30,,0.078,2.7,,,0.003,7.2,1110.82,45.1,64.068,0.7,0.003,7,0,9.2,0.001,34.6,0.001,6.7,0,34.6,38.396,0.6,38.523,0.4,0.006,18.3,0,40,0,44.1,0,47.9,0.376,0,0.006,1.4,58.417,0.6,0.001,29.8,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,032SMPL.d,,12/4/2021 21:32,Sample,,0625_2_10-60,,0.074,1.9,,,0.003,15.7,925.645,67.6,219.47,0.7,0.005,12.9,0,17.4,0.001,34.6,0.001,13.1,0.001,20,173.769,0.4,170.824,0.3,0.02,2.6,0,6.7,0,42.9,0,79.7,0.376,0,0.028,1.3,240.087,0.9,0.002,4.8,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,033SMPL.d,,12/4/2021 21:37,Sample,,0625_2_50-10,,0.078,1.4,,,0.003,18.8,833.08,28.9,26.293,0.6,0.004,10.4,0,32.7,0.001,89.2,0.001,14.8,0,34.6,14.763,0.6,14.668,1.4,0.003,20.9,0,68.6,0,45.8,0,16.7,0.376,0,0.002,7.9,14.66,0.8,0,21.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,034SMPL.d,,12/4/2021 21:42,Sample,,0625_2_50-30,,0.079,0.8,,,0.003,11.6,601.669,58.1,124.487,0.8,0.006,4.4,0,8.8,0.001,15.7,0.001,44.6,0,57.3,94.652,0.8,95.051,0.6,0.011,19.9,0,25,0,34.6,0,69.3,0.376,0,0.016,5.2,116.061,0.8,0.001,14.8,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,035SMPL.d,,12/4/2021 21:47,Sample,,cal check 25,,22.233,0.3,,,23.734,0.2,509.105,15.7,23.956,1,24.278,0.7,24.134,0.4,23.562,0.7,23.384,0.5,23.255,0.8,24.263,1.2,24.329,1.1,23.202,0.7,24.078,0.2,23.566,0.5,24.226,0.7,23.954,0.3,24.362,1.7,23.605,0.3,24.208,0.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,036SMPL.d,,12/4/2021 21:52,Sample,,blank,,0.207,2.3,,,0.001,12.8,879.409,105.1,0.002,4.7,0.002,6.8,0.001,14,0.001,91.7,0.001,6.9,0,17.3,0.002,25.5,0.001,13.3,0.001,44.4,0.001,22,0.001,45.5,0.001,25.1,0.376,0,0.001,2.8,0.002,4.5,0.001,10.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,037SMPL.d,,12/4/2021 21:57,Sample,,0625_3_10-30,,0.087,2.5,,,0.003,17.3,601.669,26.6,66.434,1.2,0.003,24,0,23,0,114.6,0.001,30,0,63,40.578,0.9,40.139,0.7,0.005,2.2,0,16.5,0.001,30.1,0,23.3,0.376,0.1,0.007,3.3,61.488,1.6,0.001,14,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1064.49 is over the calibration range,FALSE,038SMPL.d,,12/4/2021 22:02,Sample,,0625_3_10-60,,0.077,1.9,,,0.004,11.4,1064.492,39.8,218.34,0.7,0.005,9.6,0,8,0.001,57.7,0.001,43.5,0,31.5,173.524,0.3,175.576,1.5,0.02,9.5,0,22.9,0,28.6,0,23.5,0.376,0,0.028,1.2,243.147,0.4,0.003,1.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,039SMPL.d,,12/4/2021 22:07,Sample,,0625_3_50-10,,0.078,3,,,0.003,10.1,647.951,75.3,26.104,0.4,0.003,7.9,0,5.9,0,173.2,0.001,26,0,124.9,14.631,0.2,14.601,0.6,0.002,19,0,20.4,0,50,0,9.1,0.376,0,0.002,9.6,14.417,0.4,0,32.9,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,040SMPL.d,,12/4/2021 22:13,Sample,,0625_3_50-30,,0.075,1.4,,,0.003,9.4,971.927,14.3,122.823,0.3,0.005,5.4,0,15.1,0.001,49.5,0.001,18.2,0.001,35.3,96.185,0.9,95.142,0.1,0.011,3,0,32.7,0,96.4,0,57.7,0.376,0,0.015,3.7,115.636,0.5,0.001,6.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,041SMPL.d,,12/4/2021 22:18,Sample,,4410_1_10-30,,0.072,5.4,,,0.003,8.6,971.927,42.9,77.816,0.2,0.003,6.2,0,19.3,0.001,124.9,0.001,11.1,0,75.5,51.403,1,51.274,0.9,0.007,14,0,17.3,0,24.7,0,20,0.376,0,0.008,6.5,73.34,1.9,0.001,9.9,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,042SMPL.d,,12/4/2021 22:23,Sample,,4410_1_10-60,,0.073,6.3,,,0.003,5.7,647.951,12.4,228.466,0.7,0.005,11.2,0,27.6,0.001,69.3,0.001,18.4,0,57.3,186.117,1,186.744,0.6,0.021,7,0,20,0,50,0,28.4,0.376,0,0.03,0.6,250.164,0.2,0.002,4.7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,043SMPL.d,,12/4/2021 22:28,Sample,,4410_1_50-10,,0.073,3.8,,,0.002,4.4,694.234,34.6,29.817,0.9,0.003,8.1,0,16.4,0,173.2,0.001,44.1,0,89.2,16.492,0.4,16.334,0.9,0.003,22.8,0,57.3,0,20,0,31.5,0.376,0,0.003,13.5,15.408,0,0,6.7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,044SMPL.d,,12/4/2021 22:33,Sample,,4410_1_50-30,,0.074,2.1,,,0.002,8.7,925.645,31.2,128.149,0.1,0.005,7.1,0,9.4,0,86.6,0.001,19.9,0,100,102.121,0.9,101.246,1,0.012,8,0,32.7,0,10.8,0,73.5,0.376,0,0.017,2.5,119.428,0.2,0.001,16.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,045SMPL.d,,12/4/2021 22:38,Sample,,4410_2_10-30,,0.07,4.8,,,0.003,5.8,555.387,50,87.519,0.7,0.003,7.5,0,3.3,0,114.6,0.001,25,0,86.6,59.73,0.9,59.214,0.8,0.007,9.2,0,24.7,0,48,0,45.8,0.376,0,0.009,1.8,79.705,1.3,0.001,9.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,046SMPL.d,,12/4/2021 22:43,Sample,,4410_2_10-60,,0.068,1.7,,,0.003,7.2,647.998,99,226.105,0.5,0.005,2.9,0,33,0.001,50,0.001,61.5,0,33.3,185.12,0.3,183.277,0.2,0.019,7.2,0,13.3,0,78.7,0,49.5,0.376,0,0.031,1.8,248.839,1.1,0.003,11.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,047SMPL.d,,12/4/2021 22:48,Sample,,cal check 50,,47.447,1.6,,,46.262,1.1,647.951,12.4,46.748,1.1,46.941,1,47.006,1.1,48.236,0.4,46.812,0.2,46.914,0.3,49.019,0.6,48.315,0.4,46.807,0.5,47.619,0.9,49.119,0.5,48.061,0.2,49.518,0.9,48.196,0.6,49.382,0.3,48.115,1,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,048SMPL.d,,12/4/2021 22:52,Sample,,blank,,0.226,1.3,,,0.001,22.9,971.927,24.7,0.003,5.5,0.002,8.9,0.001,8.2,0.001,24.7,0.001,33.3,0.001,37.5,0.002,6.4,0.002,37.8,0.001,8.3,0.001,12.8,0.001,4.6,0.001,22.9,0.376,0,0.001,11.4,0.002,14.7,0.001,14.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,049SMPL.d,,12/4/2021 22:58,Sample,,4410_2_50-10,,0.092,1.4,,,0.003,15.1,694.234,34.6,25.449,0.2,0.003,10.8,0.001,10.3,0.001,50,0.001,13.5,0.001,7.9,13.538,0.3,13.53,0.4,0.003,20.1,0,6.9,0.001,15.8,0,12.9,0.376,0,0.002,2.6,12.446,0.4,0.001,7.1,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,050SMPL.d,,12/4/2021 23:03,Sample,,4410_2_50-30,,0.082,0.1,,,0.003,17.4,879.363,18.2,120.613,0.4,0.005,1.8,0,22.7,0.001,57.3,0.001,44.1,0.001,71.3,93.689,0.7,93.358,0.4,0.011,11,0,27,0,66.1,0,65.6,0.376,0,0.014,1.9,110.052,1,0.001,2.7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,051SMPL.d,,12/4/2021 23:08,Sample,,4410_3_10-30,,0.077,2.2,,,0.004,10,833.127,33.3,74.752,0.2,0.003,1.4,0,47,0.001,25,0.001,36.1,0,34.6,49.21,1,48.906,0.6,0.008,13.7,0,88.9,0,18.2,0,46.2,0.376,0,0.008,2.5,66.69,0,0.001,4.9,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1203.38 is over the calibration range,FALSE,052SMPL.d,,12/4/2021 23:13,Sample,,4410_3_10-60,,0.072,3,,,0.005,5.5,1203.385,56.9,220.532,0.5,0.006,7.9,0.002,8.8,0.002,70.5,0.002,19.3,0.001,62,177.434,0.2,176.143,0.7,0.022,5.4,0.002,8.2,0.002,25,0.001,5.5,0.377,0.1,0.031,5,238.964,0.9,0.004,7.1,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,053SMPL.d,,12/4/2021 23:18,Sample,,4410_3_50-10,,0.076,2.9,,,0.004,10.5,879.363,32.9,25.594,1.2,0.004,9.4,0.002,19.7,0.002,12.4,0.002,29.8,0.002,30.9,13.536,0.3,13.602,0.5,0.004,11,0.001,34.5,0.002,18.5,0.001,30.7,0.377,0.1,0.004,12.2,13.088,0.1,0.002,25.1,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,054SMPL.d,,12/4/2021 23:23,Sample,,4410_3_50-30,,0.075,1.6,,,0.005,8.5,833.08,44.1,119.291,0.8,0.007,4.4,0.002,32.7,0.002,18.2,0.002,32.8,0.002,49.4,90.536,0.7,89.771,0.8,0.012,9.2,0.002,45.5,0.002,38.5,0.002,57.2,0.377,0.1,0.016,7,110.119,0.4,0.003,36.7,,
