Sample,,,,,,,,,45  Sc  [ No Gas ] ,,56  Fe  [ No Gas ] ,,89  Y  [ No Gas ] ,,113  In  [ No Gas ] ,,139  La  [ No Gas ] ,,140  Ce  [ No Gas ] ,,141  Pr  [ No Gas ] ,,144  Nd  [ No Gas ] ,,146  Nd  [ No Gas ] ,,147  Sm  [ No Gas ] ,,151  Eu  [ No Gas ] ,,153  Eu  [ No Gas ] ,,157  Gd  [ No Gas ] ,,159  Tb  [ No Gas ] ,,163  Dy  [ No Gas ] ,,165  Ho  [ No Gas ] ,,166  Er  [ No Gas ] ,,169  Tm  [ No Gas ] ,,172  Yb  [ No Gas ] ,,175  Lu  [ No Gas ] ,,103  Rh ( ISTD )  [ No Gas ] ,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,010CALS.d,,12/4/2021 19:43,CalStd,9,500,,16970398,1,,,35926544,1.3,53.33,10.8,44808902.67,0.4,43189106.67,0.4,52558157.33,1.1,14339598.54,0.6,9366719,0.3,8178126.67,0.8,27164364.67,0.4,30099645.38,0.9,9888769.67,0.7,59422764,0.9,14497277.33,0.7,58788260,0.6,20005453.33,0.4,61143829.33,0.6,13786339.67,0.7,62509614.67,1.5,169966.24,0.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,011CALS.d,,12/4/2021 19:48,CalStd,10,1000,,34537082.67,0.7,,,73012240,0.7,43.33,81,91975314.67,0.9,87833029.33,0.8,106776922.7,0.8,28920462.07,0.3,19336548.67,0.5,16754928.33,0.6,55168968,0.3,61606110.75,1.2,20348457.33,0.8,121323101.3,0.6,29635720.67,0.5,119423728,0.2,40665461.33,0.9,123902226.7,0.6,27936092,0.7,125894480,0.4,169310.93,0.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,012BLKV.d,,12/4/2021 19:52,BlkVrfy,,blank verify,,14717.3,2.4,,,724.03,7.9,56.67,53.9,852.7,6.1,929.38,7.6,981.38,9.8,286.68,21.3,187.33,13.7,175.33,16,548.68,9.5,636.71,12.7,221.33,3.7,1168.73,4.8,299.34,6.4,1081.39,5.3,389.34,11.6,1195.4,9,250,6.4,1201.4,8.5,166289.58,0.7
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,013SMPL.d,,12/4/2021 19:57,Sample,,1327_1_10-30,,6008.69,0.7,,,707.36,5.4,56.67,66.8,4316180.5,0.2,764.03,4,792.03,7.1,216.68,11.6,142,2.4,136.67,9.7,1455358.58,0.6,1627720.55,1.6,243.33,13.7,882.7,3.3,203.33,10.6,875.37,9.3,297.34,4.9,1335.41,5.7,1124060.21,0.4,930.71,5.5,163334.77,0.1
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,014SMPL.d,,12/4/2021 20:02,Sample,,1327_1_10-60,,4707.51,1.8,,,380.68,10.9,70,14.3,19440336.67,1,558.68,6.8,227.33,4.5,66.67,31.2,50,17.4,30,46.7,8859612.67,0.9,9765994.85,0.5,390.68,5.9,210.67,3.8,66,24.1,212,7.1,94.67,12.4,3198.43,6.2,6329359.5,0.5,507.35,4.7,163850.73,0.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,015SMPL.d,,12/4/2021 20:07,Sample,,1327_1_50-10,,4041.29,1,,,298.67,20.3,66.67,31.2,1030812.61,0.3,260.67,11.3,113.33,19.4,40,25,40,22.9,21.33,46.2,393235.38,0.2,438092.74,0.5,42.67,7.2,116.67,27.5,31.33,19.5,110.67,12,44,29.8,228,22.4,190072.6,0.4,117.33,37.6,157377.89,0.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,016SMPL.d,,12/4/2021 20:12,Sample,,1327_1_50-30,,3637.17,2.8,,,304.68,5.3,40,66.1,8010216.67,0.4,509.35,2,116,12.1,66.67,31.2,36.67,32.9,18,50.9,3059460.5,0.8,3390347.34,1.5,175.33,16.2,98.67,18.8,32.67,17.7,103.33,14.8,46.67,27.2,1129.39,4.4,2015238.75,0.5,193.33,5.7,156201.01,0.5
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,017SMPL.d,,12/4/2021 20:17,Sample,,1327_2_10-30,,3503.14,1.3,,,302.01,11.5,43.33,13.3,5067577.83,0.4,242,15.2,92,19.9,50,40,35.33,14.2,14.67,34.3,1770447.17,0.8,1958636.84,1.2,105.33,19.5,90.67,15.5,21.33,14.3,66.67,24.4,34.67,14.5,646.02,6.4,1399722.42,0.8,147.33,13.6,162141.09,0.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1018.21 is over the calibration range,FALSE,018SMPL.d,,12/4/2021 20:22,Sample,,1327_2_10-60,,3211.07,1,,,262,22.7,73.33,20.8,19826852,0.7,443.34,7.7,92,10,26.67,57.3,19.33,36.3,16,12.5,9212569.67,0.9,10243078.6,0.8,364.01,9.8,56.67,33.9,24.67,12.4,60,20.8,26.67,15.6,3253.77,3,6531329.83,1,335.34,0.3,161712.81,0.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,019SMPL.d,,12/4/2021 20:27,Sample,,1327_2_50-10,,3048.36,1.4,,,192.67,3.2,56.67,53.9,1246963.42,2.2,169.33,2.7,54.67,4.2,20,86.6,26.67,11.5,7.33,41.7,433704.09,0.9,484534.41,0.4,37.33,30.5,29.33,28.4,10,34.6,38.67,36.3,22.67,50.2,184,11.5,227432.52,0.3,43.33,32.7,155867.75,0.3
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1388.51 is over the calibration range,FALSE,020SMPL.d,,12/4/2021 20:32,Sample,,1327_2_50-30,,3121.04,1.6,,,190.67,16.3,100,26.5,9621654.67,0.4,458.68,7.4,47.33,19.1,40,50,15.33,45.8,5.33,43.3,4019444.25,0.9,4432867.44,1,178,9.7,18.67,76,11.33,56.7,26,40,12,33.3,1436.76,4.2,2528270.25,0.5,129.33,15.5,156833.59,0.2
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,021SMPL.d,,12/4/2021 20:37,Sample,,1327_3_10-30,,2870.99,0.2,,,236,11.7,56.67,36.7,4889590.67,0.5,230,16.2,40.67,31.6,43.33,35.3,20,40,13.33,74,1680398.42,0.8,1894700.44,0.1,92.67,10.6,20,20,16.67,30.2,27.33,4.2,17.33,13.3,603.35,5.4,1280680.79,0.3,75.33,10.7,163253.37,0.3
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,022SMPL.d,,12/4/2021 20:42,Sample,,1327_3_10-60,,2818.98,0.3,,,322.68,6.9,56.67,20.4,20345588.67,0.6,421.34,9.7,48.67,16.6,23.33,65.5,24.67,23.4,10,105.8,9416141.33,1.1,10575074.42,1.2,434.01,6.8,18.67,12.4,8.67,13.3,26.67,4.3,15.33,60.2,3284.45,1.8,6620320.17,0.8,322.01,12.2,162856.87,0.6
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,023SMPL.d,,12/4/2021 20:47,Sample,,cal check 10,,299536.03,1,,,677204.64,0.5,60,44.1,866880.6,0.3,828544.4,0.2,1013020.94,0.3,276709.16,0.8,183265.19,0.8,158462.67,0.6,528148.21,0.5,587797.04,0.6,191703.77,0.5,1194043.54,1.7,284258.97,0.4,1150579.12,0.6,390850.76,0.4,1222611.17,0.6,270681.23,0.3,1252219.42,1.8,161970.64,0.1
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,024SMPL.d,,12/4/2021 20:52,Sample,,blank,,6466.89,1.5,,,38.67,16.6,36.67,78.7,178.67,11,90.67,14.7,37.33,8.2,10,100,6.67,69.3,5.33,21.7,83.33,12.1,116.67,21.6,7.33,15.7,43.33,14.1,11.33,20.4,39.33,20.5,17.33,40.5,43.33,9.6,62.67,20.3,38,13.9,160644.29,1.6
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,025SMPL.d,,12/4/2021 20:57,Sample,,1327_3_50-10,,3209.73,1.5,,,224.67,10.1,53.33,43.3,1002698.94,0,219.33,11,74.67,18.8,43.33,35.3,24.67,12.4,9.33,12.4,393594.75,0.7,437565.49,1,30.67,22.9,28.67,46.5,13.33,69.3,28.67,29,18.67,34.4,168,8.6,193712.26,0,28,24.7,155012.76,0.3
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1249.67 is over the calibration range,FALSE,026SMPL.d,,12/4/2021 21:02,Sample,,1327_3_50-30,,3019.69,2.9,,,234,8.2,90,19.2,8479053.67,0.8,456.01,6.5,48.67,17.1,23.33,65.5,30.67,39.3,6,66.7,3388570.92,0.9,3738160.78,1,190.67,4,12.67,9.1,10,20,16,45.1,12.67,39.7,1220.74,1.2,2189699.08,1.2,108,3.7,154844.03,0.1
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,027SMPL.d,,12/4/2021 21:07,Sample,,0625_1_10-30,,2741.63,1.7,,,262,9.3,60,16.7,7336635,0.3,313.34,6.3,43.33,22.8,43.33,13.3,27.33,40.3,6,88.2,2860672.5,1.3,3160310.47,0.5,135.33,7.4,11.33,27,8,50,12.67,9.1,11.33,53.9,1014.05,7.4,1988148.71,1,93.33,21.1,160445.78,0.1
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,028SMPL.d,,12/4/2021 21:12,Sample,,0625_1_10-60,,2662.27,4.1,,,258,8.2,43.33,87.4,21476286,0.4,486.01,6.4,36,20,26.67,21.7,21.33,51.6,9.33,44.6,10323824.67,0.5,11490154,0.4,445.34,2.6,9.33,53.9,8,66.1,13.33,34.6,12.67,59.8,3637.21,2.9,6927912.5,0.3,322.01,5.4,158703.28,0.2
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,029SMPL.d,,12/4/2021 21:17,Sample,,0625_1_50-10,,2771.63,2.5,,,184.67,3.5,46.67,44.6,2581309.75,0.3,290.01,6.6,45.33,18.4,13.33,43.3,18.67,34.4,3.33,69.3,881598.1,0.4,976748.32,0.6,56,3.6,6.67,75.5,7.33,78.7,14,28.6,10,0,326.01,14,446075.1,0.2,21.33,44.3,153928.58,0.3
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1157.06 is over the calibration range,FALSE,030SMPL.d,,12/4/2021 21:22,Sample,,0625_1_50-30,,2805.64,5.8,,,272.01,8.4,83.33,25,11433049.33,0.5,537.35,2.8,42.67,18.9,30,88.2,21.33,44.3,12,16.7,5374271.83,0.3,5868580.96,0.3,235.33,3.5,12.67,36.5,10.67,60.3,18.67,22.3,17.33,13.3,1914.83,3.1,3275165.75,0.9,160,5,152959.99,0.3
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1110.82 is over the calibration range,FALSE,031SMPL.d,,12/4/2021 21:27,Sample,,0625_2_10-30,,2698.95,2.7,,,222,7.2,80,45.1,5856266,0.7,219.33,7,45.33,9.2,16.67,34.6,17.33,6.7,6.67,34.6,2111250.83,0.6,2361726.58,0.4,124,18.3,10,40,12,44.1,14.67,47.9,12,44.1,762.03,1.4,1628165.46,0.6,64,29.8,158711.08,0.5
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,032SMPL.d,,12/4/2021 21:32,Sample,,0625_2_10-60,,2560.93,1.9,,,224.67,15.7,66.67,67.6,20061133.33,0.7,452.68,12.9,50,17.4,16.67,34.6,23.33,13.1,10,20,9554886.67,0.4,10472627.55,0.3,402.01,2.6,17.33,6.7,14,42.9,15.33,79.7,12,33.3,3463.17,1.3,6691586.17,0.9,309.34,4.8,156701.11,1.8
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,033SMPL.d,,12/4/2021 21:37,Sample,,0625_2_50-10,,2672.95,1.4,,,205.33,18.8,60,28.9,2403376.17,0.6,318.01,10.4,39.33,32.7,23.33,89.2,20.67,14.8,3.33,34.6,811750.83,0.6,899232.7,1.4,55.33,20.9,7.33,68.6,6.67,45.8,12,16.7,5.33,57.3,306.01,7.9,408609.97,0.8,19.33,21.5,152827.55,0.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,034SMPL.d,,12/4/2021 21:42,Sample,,0625_2_50-30,,2716.95,0.8,,,192,11.6,43.33,58.1,11379015.67,0.8,518.02,4.4,34.67,8.8,36.67,15.7,18.67,44.6,5.33,57.3,5204573.5,0.8,5827259.7,0.6,229.33,19.9,8,25,3.33,34.6,10,69.3,16.67,45.4,1935.5,5.2,3234809.5,0.8,143.33,14.8,152435.21,0.1
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,035SMPL.d,,12/4/2021 21:47,Sample,,cal check 25,,764858.13,0.3,,,1725862.87,0.2,36.67,15.7,2189753,1,2123852.17,0.7,2566849.67,0.4,680288.84,0.7,449330.05,0.5,387848.2,0.8,1334126.83,1.2,1491514.2,1.1,469404.79,0.7,2908538.92,0.2,695557.14,0.5,2883597.92,0.7,955841.31,0.3,3010201.92,1.7,657911.79,0.3,3043150.5,0.5,158945.89,0.5
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,036SMPL.d,,12/4/2021 21:52,Sample,,blank,,7104.56,2.3,,,54.67,12.8,63.34,105.1,172,4.7,134,6.8,59.33,14,16.67,91.7,16.67,6.9,6.67,17.3,106,25.5,86.67,13.3,11.33,44.4,73.33,22,22,45.5,68.67,25.1,20.67,5.6,72,2.8,44,4.5,68.67,10.2,156614.54,0.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,037SMPL.d,,12/4/2021 21:57,Sample,,0625_3_10-30,,2989.01,2.5,,,216,17.3,43.33,26.6,6072593.33,1.2,229.33,24,46,23,13.33,114.6,24,30,7.33,63,2231248.08,0.9,2460780.33,0.7,102.67,2.2,32,16.5,15.33,30.1,38.67,23.3,19.33,48.9,816.7,3.3,1713764.66,1.6,105.33,14,152759.39,1.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1064.49 is over the calibration range,FALSE,038SMPL.d,,12/4/2021 22:02,Sample,,0625_3_10-60,,2662.28,1.9,,,292.01,11.4,76.67,39.8,19957852,0.7,436.01,9.6,50,8,30,57.7,22.67,43.5,7.33,31.5,9541437,0.3,10763961.92,1.5,395.34,9.5,13.33,22.9,14,28.6,27.33,23.5,10,52.9,3500.51,1.2,6776883.5,0.4,316.68,1.3,155804.26,0.2
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,039SMPL.d,,12/4/2021 22:07,Sample,,0625_3_50-10,,2690.95,3,,,187.33,10.1,46.67,75.3,2386133.83,0.4,248.67,7.9,34,5.9,10,173.2,19.33,26,3.33,124.9,804526.1,0.2,895118.56,0.6,38,19,11.33,20.4,8,50,12.67,9.1,11.33,44.4,298.68,9.6,401825.61,0.4,25.33,32.9,150659.8,0.6
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,040SMPL.d,,12/4/2021 22:13,Sample,,0625_3_50-30,,2592.27,1.4,,,249.33,9.4,70,14.3,11226960.67,0.3,452.01,5.4,33.33,15.1,23.33,49.5,22,18.2,8.67,35.3,5288872.5,0.9,5832853.66,0.1,232,3,9.33,32.7,6.67,96.4,12,57.7,13.33,34.6,1892.82,3.7,3222947.17,0.5,127.33,6.5,150899.01,0.2
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,041SMPL.d,,12/4/2021 22:18,Sample,,4410_1_10-30,,2492.25,5.4,,,249.33,8.6,70,42.9,7112998.33,0.2,239.34,6.2,39.33,19.3,16.67,124.9,18,11.1,6.67,75.5,2826445.17,1,3143439.43,0.9,143.33,14,6.67,17.3,14,24.7,10,20,6,33.3,1050.05,6.5,2044094.91,1.9,103.33,9.9,155432.18,0.2
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,042SMPL.d,,12/4/2021 22:23,Sample,,4410_1_10-60,,2527.59,6.3,,,235.33,5.7,46.67,12.4,20883493.33,0.7,406.68,11.2,32.67,27.6,16.67,69.3,22.67,18.4,5.33,57.3,10233907.33,1,11448616.08,0.6,431.34,7,10,20,8,50,14.67,28.4,10.67,28.6,3730.58,0.6,6972456.67,0.2,292.01,4.7,155055.98,0.8
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,043SMPL.d,,12/4/2021 22:28,Sample,,4410_1_50-10,,2516.25,3.8,,,158,4.4,50,34.6,2725508.42,0.9,284.01,8.1,25.33,16.4,6.67,173.2,12,44.1,4.67,89.2,906808.46,0.4,1001375.58,0.9,63.33,22.8,5.33,57.3,10,20,7.33,31.5,11.33,27,322.01,13.5,429445.66,0,30,6.7,149229.03,0.5
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,044SMPL.d,,12/4/2021 22:33,Sample,,4410_1_50-30,,2552.26,2.1,,,160,8.7,66.67,31.2,11713802.33,0.1,479.34,7.1,24.67,9.4,6.67,86.6,15.33,19.9,4,100,5615251,0.9,6207030.33,1,232.67,8,9.33,32.7,10.67,10.8,11.33,73.5,8.67,53.3,2041.52,2.5,3328626.75,0.2,140,16.2,149358.79,0.6
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,045SMPL.d,,12/4/2021 22:38,Sample,,4410_2_10-30,,2418.23,4.8,,,188.67,5.8,40,50,7999892.83,0.7,250.67,7.5,34.67,3.3,13.33,114.6,16,25,4,86.6,3284312.92,0.9,3630202.97,0.8,139.33,9.2,4.67,24.7,8.67,48,6.67,45.8,6,88.2,1164.06,1.8,2221512.17,1.3,90.67,9.2,154630.94,0.8
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,046SMPL.d,,12/4/2021 22:43,Sample,,4410_2_10-60,,2336.21,1.7,,,234.67,7.2,46.67,99,20667640,0.5,460.01,2.9,27.33,33,20,50,14.67,61.5,6,33.3,10179051.67,0.3,11236066.5,0.2,376.01,7.2,8.67,13.3,7.33,78.7,9.33,49.5,7.33,41.7,3881.29,1.8,6935512,1.1,343.34,11.2,153996.06,0.9
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,047SMPL.d,,12/4/2021 22:48,Sample,,cal check 50,,1632248.96,1.6,,,3364080.67,1.1,46.67,12.4,4273133.33,1.1,4106426.42,1,4999374.5,1.1,1392669.36,0.4,899487,0.2,782447.23,0.3,2695365.08,0.6,2962053.4,0.4,946965.88,0.5,5752251.17,0.9,1449742.54,0.5,5720680.33,0.2,1992220.21,0.9,5955098,0.6,1376346.54,0.3,6048554.83,1,154922.02,1
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,048SMPL.d,,12/4/2021 22:52,Sample,,blank,,7785.58,1.3,,,59.33,22.9,70,24.7,241.33,5.5,144.67,8.9,78.67,8.2,23.33,24.7,12,33.3,16,37.5,129.33,6.4,133.34,37.8,24,8.3,88.67,12.8,25.33,4.6,86,22.9,29.33,25.8,99.33,11.4,68.67,14.7,101.33,14.3,152786.89,0.5
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,049SMPL.d,,12/4/2021 22:58,Sample,,4410_2_50-10,,3179.72,1.4,,,226,15.1,50,34.6,2326214.83,0.2,283.34,10.8,70,10.3,20,50,22.67,13.5,14.67,7.9,744402.41,0.3,829505.87,0.4,62,20.1,50,6.9,19.33,15.8,47.33,12.9,26.67,24.1,307.34,2.6,346902.64,0.4,71.33,7.1,147703.72,0.5
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,050SMPL.d,,12/4/2021 23:03,Sample,,4410_2_50-30,,2810.31,0.1,,,182,17.4,63.33,18.2,11024942.33,0.4,440.68,1.8,44,22.7,26.67,57.3,12,44.1,11.33,71.3,5151598.33,0.7,5723471.17,0.4,214,11,22.67,27,8,66.1,17.33,65.6,12.67,32.9,1778.8,1.9,3067321.75,1,152.67,2.7,148687.12,0.2
