Well,Knockout,Label,Growth OD,Final OD for Screen,Abs 650 nm,Mask,Comment
A01,SO_2513,{\it \delta SO\_2513},0.468,0.269,0.1098,Normal,
A03,SO_2517,{\it \delta SO\_2517},0.476,0.281,0.1155,Normal,
F10,SO_2594,{\it \delta SO\_2594},0.463,0.318,0.1004,Normal,
A05,SO_2609,{\it \delta SO\_2609},0.487,0.304,0.1,Normal,
F12,SO_2611,{\it \delta SO\_2611},0.43,0.291,0.1064,Normal,
G01,SO_2670,{\it \delta SO\_2670},0.475,0.323,0.0967,Normal,
G03,SO_2711,{\it \delta SO\_2711},0.489,0.343,0.0971,Normal,
A07,SO_2872,{\it \delta SO\_2872},0.438,0.27,0.1157,Normal,
G05,SO_2953,{\it \delta SO\_2953},0.476,0.329,0.1007,Normal,
G09,SO_3240,{\it \delta SO\_3240},0.495,0.434,0.0676,Normal,
G11,SO_3534,{\it \delta SO\_3534},0.364,0.237,0.1164,Normal,
A09,SO_3662,{\it \delta SO\_3662},0.451,0.289,0.113,Normal,
H02,SO_3723,{\it \delta SO\_3723},0.499,0.33,0.0911,Normal,
A11,SO_3767,{\it \delta SO\_3767},0.435,0.265,0.109,Normal,
B02,SO_3884,{\it \delta SO\_3884},0.474,0.278,0.1178,Normal,
B04,SO_4027,{\it \delta SO\_4027},0.485,0.291,0.1097,Normal,
H04,SO_4052,{\it \delta SO\_4052},0.467,0.315,0.1003,Normal,
H06,SO_4056,{\it \delta SO\_4056},0.464,0.313,0.1036,Normal,
B06,SO_4145,{\it \delta SO\_4145},0.489,0.335,0.0979,Normal,
H08,SO_4181,{\it \delta SO\_4181},0.48,0.32,0.0938,Normal,
H10,SO_4458,{\it \delta SO\_4458},0.491,0.325,0.0939,Normal,
B08,SO_4472,{\it \delta SO\_4472},0.526,0.347,0.0844,Normal,
B10,SO_4614,{\it \delta SO\_4614},0.483,0.296,0.114,Normal,
H12,SO_A0164,{\it \delta SO\_A0164},0.462,0.294,0.0988,Normal,
